date, pm25, pm10, o3, no2, so2, co
2023/7/23, 20, 18, 3, 4, , 2
2023/7/24, 31, 19, 3, 4, , 2
2023/7/25, 35, 22, 4, 4, , 3
2023/7/26, 37, 10, 2, 4, , 3
2023/7/27, 18, 14, 3, 4, , 1
2023/7/28, 26, 25, 3, 4, , 1
2023/7/29, 44, 31, 3, 5, , 1
2023/7/30, 51, 26, 3, 4, , 1
2023/7/31, 44, 30, 3, 4, 1, 1
2023/8/1, 52, 30, 4, 4, , 1
2023/8/2, 50, 35, 4, 4, , 1
2023/8/3, 56, 37, 4, 4, , 2
2023/8/4, 58, 33, 3, 4, , 2
2023/8/5, 53, 34, 5, 4, , 1
2023/8/6, 54, 51, 5, 4, , 2
2023/8/7, 77, 54, 5, 4, , 2
2023/8/8, 79, 54, 5, 4, , 
2023/8/9, 79, 42, 8, 4, , 2
2023/8/10, 61, 33, 5, 4, , 2
2023/8/11, 45, 28, 3, 4, , 2
2023/8/12, 44, 35, 4, 4, , 
2023/8/13, 47, 40, 3, 4, , 1
2023/8/14, 77, 35, 5, 4, , 1
2023/8/15, 81, 30, 6, 4, , 
2023/8/16, 60, , , , , 
2023/8/21, 60, 25, 3, 4, 1, 3
2023/8/22, 29, 24, 1, 4, 1, 4
2023/8/23, 47, 23, 1, 4, 1, 1
2023/8/24, 57, 22, , 4, 1, 3
2023/8/25, 44, 19, 1, 4, 1, 3
2023/8/26, 38, 23, 2, 4, 1, 3
2023/8/27, 41, 51, 4, 4, 1, 2
2023/8/28, 58, 50, 4, 4, 1, 2
2023/8/29, 54, 39, 4, 4, 1, 2
2023/8/30, 74, 53, 5, 4, 1, 2
2023/8/31, 66, 52, 17, 4, , 3
2023/9/1, 75, 64, 15, 4, 1, 2
2023/9/2, 99, 46, 11, 4, 1, 2
2023/9/3, 71, 77, 7, 4, 1, 2
2023/9/4, 78, 64, 11, 4, 1, 2
2023/9/5, 71, 60, 12, 4, 1, 3
2023/9/6, 74, 34, 5, 4, 1, 4
2023/9/7, 57, 23, 7, 4, 2, 5
2023/9/8, 44, 25, 8, 4, 1, 6
2023/9/9, 45, 36, 6, 4, 1, 2
2023/9/10, 38, 42, 6, 4, 1, 3
2023/9/11, 44, 45, 8, 4, 1, 3
2023/9/12, 58, 47, 6, 4, 1, 3
2023/9/13, 68, 27, 6, 4, 1, 2
2023/9/14, 58, 42, 6, 4, 1, 3
2023/9/15, 49, 21, 3, 4, 2, 3
2023/9/16, 38, 16, 4, 4, 4, 3
2023/9/17, 34, 25, 3, 4, 4, 5
2023/9/18, 42, 20, 4, 4, 4, 4
2023/9/19, 31, 24, 5, 4, 4, 4
2023/9/20, 32, 25, 6, 4, 4, 3
2023/9/21, 33, 15, 4, 4, 5, 3
2023/9/22, 27, 19, 5, 4, , 3
2023/9/23, 32, 22, 3, 4, , 3
2023/9/24, 44, 24, 2, 4, , 4
2023/9/25, 47, 26, 6, 4, , 6
2023/9/26, 50, 27, 5, 4, , 7
2023/9/27, 65, 40, 11, 4, , 8
2023/9/28, 87, 44, 12, 4, , 6
2023/9/29, 85, 40, 11, 4, , 5
2023/9/30, 78, 56, 19, 4, , 4
2023/4/3, 86, 37, 25, 2, , 2
2023/4/4, 82, 58, 22, 2, 1, 3
2023/4/5, 102, 58, 21, 2, 1, 3
2023/4/6, 117, 63, 25, 2, 2, 4
2023/4/7, 134, 49, 29, 2, , 4
2023/4/8, 87, 46, 32, 2, , 3
2023/4/9, 86, 50, 31, 2, , 3
2023/4/10, 81, 45, 32, 2, , 4
2023/4/11, 91, 39, 38, 2, , 4
2023/4/12, 86, 59, 27, 2, , 3
2023/4/13, 98, 46, 31, 2, 1, 4
2023/4/14, 81, 52, 39, 2, , 6
2023/4/15, 92, 37, 34, 2, , 4
2023/4/16, 75, 45, 25, 2, , 4
2023/4/17, 82, 56, 31, 2, 2, 4
2023/4/18, 90, 59, 35, 2, 4, 4
2023/4/19, 96, 57, 28, 2, , 3
2023/4/20, 95, 49, 26, 2, , 2
2023/4/21, 69, 37, 20, 2, , 1
2023/4/22, 60, 36, 20, 2, , 1
2023/4/23, 57, 48, 27, 2, , 2
2023/4/24, 76, 55, 38, 2, 2, 3
2023/4/25, 85, 56, 33, 2, , 3
2023/4/26, 93, 49, 24, 2, , 3
2023/4/27, 80, 51, 22, 2, , 3
2023/4/28, 91, 40, 18, 2, , 2
2023/4/29, 64, 34, 16, 2, , 2
2023/4/30, 67, 26, 19, 2, , 1
2023/5/1, 50, 34, 18, 2, , 1
2023/5/2, 45, 33, 18, 2, , 1
2023/5/3, 56, 40, 22, 2, , 3
2023/5/4, 79, 38, 24, 2, , 3
2023/5/5, 94, 47, 26, 2, , 3
2023/5/6, 87, 44, 23, 2, , 2
2023/5/7, 91, 54, 23, 2, , 2
2023/5/8, 92, 57, 30, 2, , 2
2023/5/9, 94, 66, 28, 2, , 3
2023/5/10, 113, 64, 27, 2, , 4
2023/5/11, 116, 57, 26, 2, , 2
2023/5/12, 97, 55, 28, 2, , 2
2023/5/13, 87, 41, 20, 2, , 1
2023/5/14, 63, 46, 11, 2, , 2
2023/5/15, 64, 43, 11, 2, , 1
